1. Departmental classified abstract is ,(a) collection of monthly transaction as whole relating to each civil department ,(b) collection of monthly transaction as whole relating to a major head of account coextensive with any particular department ,(c) collection of monthly transaction as whole relating to each civil department or a major head of account coextensive with any particular department ,(d) collection of monthly transaction as whole relating to each civil department or a major head of account not coextensive with any particular department,D ,
" 195. An item debited to a debt, deposit, suspense or remittance head instead of to an expenditure head and error was detected BEFORE the close of the account of the year, rectification will be made by ",(a) credit DDR Head and debit the expenditure head concerned ,(b) debit DDR Head and credit the expenditure head concerned ,(c) minus debit DDR Head and debit the expenditure head concerned,(d) minus debit DDR Head and minus credit the expenditure head concerned,C,
" 196. An item debited to a debt, deposit, suspense or remittance head instead of to an expenditure head and error was detected AFTER the close of the account of the year, rectification will be made by ",(a) debit DDR Head and credit the expenditure head concerned,(b) credit DDR Head and debit the expenditure head concerned,(c) minus debit DDR Head and debit the expenditure head concerned,(d) minus debit DDR Head and minus credit the expenditure head concerned,B ,
" 197. An item credited to a revenue head instead of to a debt, deposit, suspense or remittance head and error was detected BEFORE the close of the account of the year correction should be made by ",(a) debit revenue head and minus debit DDR head concerned ,(b) minus debit revenue head and credit DDR head concerned ,(c) debit revenue head and credit DDR head concerned ,(d) minus credit revenue head and credit DDR head concerned,D ,
" 198. An item credited to a revenue head instead of to a debt, deposit, suspense or remittance head and error was detected AFTER the close of the account of the year correction should be made by ",(a) debit revenue head and minus debit DDR head concerned ,(b) minus debit revenue head and credit DDR head concerned ,(c) debit revenue head and credit DDR head concerned ,(d) minus credit revenue head and credit DDR head concerned,D ,
" 199. An item debited to an expenditure head instead of to a debt, deposit, suspense or remittance head and error was detected AFTER the close of the account of the year correction should be made by ",(a) debit DDR head and credit departmental revenue head concerned ,(b) debit DDR head and minus credit departmental revenue head concerned ,(b) debit DDR head and credit expenditure head concerned ,(b) debit DDR head and minus debit expenditure head concerned,A ,
" 200. In the case of a department not having corresponding receipt head, the major head to be considered for department receipt will be ",(a) 0070- Other Administrative Services ,(b) 0075-Miscellaneous General Services ,(c) 8680- Miscellaneous Government Accounts ,(d) 8658-Suspense Account,B ,
" 201. After the accounts of the year are closed, corrections or transfers affecting capital major heads should usually be effected without financial adjustment by alteration of progressive figures, without passing the debit and credit entries through the account of the year’s financial transactions unless ",(a) the amount involved is more than rupees 1000/- ,(b) the amount involved is 10% or more of the total capital outlay ,(c) they affect the account of different Govt. ,(d) All of the above,C ,
 202. Pick the correct one ,(a) A transfer Entry Number Book in Form A.C. 24 should be maintained in each audit or accounts section ,(b) The Transfer Entry Number Book for Central transactions should be kept separate from that for State transactions ,"(c) The entries proposed by the several sections should be numbered serially by each, a distinctive letter being used by each section and these numbers entered in their respective Number Books ",(d) All of the above,D ,
 203. The number to be given to transfer entry received from another section should be expressed as a ,(a) fraction where numerator denotes originator and denominator receiver ,(b) fraction where numerator denotes receiver and denominator originator ,(c) combination of alphanumeric series where alphabet denotes originator and number receiver ,(d) combination of alphanumeric series where alphabet denotes receiver and number originator,A ,
 204. The addition or deduction which should be posted in Departmental Abstracts or the Detail Books on account of the transfer entries should be worked out from the separate transfer entries of all sections by preparing a Combined Transfer Ledger & Abstract in ,(a) AC 24 ,(b) AC 25 ,(c) AC 31 ,(d) AC 32,B ,
 205. Pick the incorrect one ,"(a) In the case of revenue and expenditure heads, it is the net debit or credit under the head in the Combined Transfer Ledger that appear as a debit or credit in the Abstract. ","(b) In the case of debt, deposit or remittance heads, the gross credit and the gross debit should both appear in the Abstract ",(c) When large transfers are made from one DDR head to another in order to correct the original classification in account the correction should be made by using plus debit or plus credit as the case may be. ,(d) None of the given,C ,
" 206. When the correction is in rectification of a misclassification in DDR heads of the previous year, it should be ",(a) by a plus debit or plus credit under the heads concerned ,(b) by a plus debit or minus credit under the heads concerned ,(c) by a plus debit or minus debit under the heads concerned ,"(d) by plus credit or minus credit under the heads concerned, without affecting the debits for the year",D ,
 207. Transfers affecting a DDR head should be made by new entries in the month of correction ,(a) need not be noted against the original entry in the Detail Book ,(b) need be noted against the original entry in the Detail Book ,(c) need be noted against the original entry in the Detail Book if the amount exceeds 100 rupees. ,(d) need be noted against the original entry in the Detail Book in all cases unless directed otherwise by the AG,A ,
" 208. State whether true or false When detailed statement of revenue is communicated, month by month, to the revenue controlling authority, particulars of correcting transfer made in the month's accounts should be given at the foot of such statement. ",(a) True ,(b) False,,,A ,
 209. The monthly volumes of the Combined Transfer Ledger and Abstract should be arranged in order of the months and bound into convenient volumes ,(a) at the end of each quarter ,(b) at the end of September ,(c) at the end of the year ,(d) any of the above as directed by the AG,C ,
 210. Pick the correct one ,(a) The State AG should maintain separate Journals in AC 26 and Ledgers for Central and State transactions in AC 27 and AC 29 respectively ,"(b) Ledger in AC 27 is maintained for Debt, Deposit and Remittance which are closed to Government ","(c) Ledger in AC 29 for Revenue, Expenditure, Capital, Debt, Deposit and Remittance heads which are closed to Balance ",(d) All of the above,A,
 211. Which of the following is not an account in the ledger i. Opening and Closing heads of Balances & Government ii. Revenue Receipt and Revenue Expenditure iii. DDR closed to Government iv. DDR closed to balance v. Personal account of Collector having accounts with the AG ,"(a) i. ii, iii and iv ","(b) i, ii, iii and v ","(c) i, ii, iv and v ",(d) All of the above,D ,
 212. Opening entries in Journal should be made by ,(a) Group head and with full detail which available with closing entries of the previous year ,(b) Group head and no need to enter full detail which available with closing entries of the previous year ,(c) Individual head and with full detail which available with closing entries of the previous year ,(d) Individual head and no need to enter full detail which available with closing entries of the previous year,B ,
 213. Pick the incorrect one ,(a) Journal entry for revenue receipt- Dr. Sundry Accountant Cr-Revenue Receipt & Sundry Account ,(b) Journal entry for expenditure- Dr. Service Expenditure & sundry Account Cr-Sundry Accountant ,(c) The entries to be journalised for the month of March should be based on the figures in the March supplementary account ,(d) None of the given,C ,
" 214. In monthly entries, the figures against Sundry Accountants should be taken from the Statement of Disbursers' Accounts for those against the ",(a) Revenue receipt & Sundry Account ,(b) Service Expenditure and Sundry accounts ,(c) Both A&B ,(d) DDR and Sundry accounts,A ,
 215. The figures against Service Expenditure and Sundry accounts should be taken from the ,(a) Statement of Disbursers' Accounts ,(b) Abstract of Major Head ,(c) Departmental Consolidated Abstract ,(d) Detail Book,B ,
" 216. The Ledger, for transactions under Revenue, Service and Capital heads should be posted monthly from the total of ",(a) Detail Book ,(b) Departmental Consolidated Abstract ,(c) Abstract of Major Head ,(d) Statement of Disbursers' Accounts,C ,
" 217. The Ledger, for transactions under Debt, Lom, Deposit, Suspense and Remittance heads should be posted monthly from the total of ",(a) Abstract of Major Head ,(b) Detail Book ,(c) Departmental Consolidated Abstract ,(d) Consolidated Abstract,D ,
 218. The object of the Ledger is to bring out ,"(a) the balances under the Debt, Loan, Deposit, Suspense and Remittance heads closed to Government ","(b) the balances under the Debt, Loan, Deposit, Suspense and Remittance heads other than those which are closed to Government ","(c) the balances under the Revenue Receipts, Service Expenditure, Capital Expenditure heads closed to Government ","(d) the balances under the Revenue Receipts, Service Expenditure, Capital Expenditure heads other than those which are closed to Government",B ,
 219. Pick the correct one ,"(a) The Revenue Receipts, Service Expenditure, Capital Expenditure should be posted by totals and the Debt Deposit and Remittance heads that are closed to Government should be posted by Major Head ","(b) Debt, Loan, Deposit, Suspense and Remittance heads which are closed to balance should be posted in detail o ledger heads ",(c) Both A&B ,(d) None of the given,C ,
" 220. Each prescribed minor and sub-detailed head under Debt, Loans, Deposit, Suspense and Remittance heads shall be a separate ledger head for ",(a) which close to balance ,(b) which close to Government ,(c) Both A&B ,(d) None of the given,A ,
 221. Pick the incorrect one ,"(a) Each prescribed minor and sub-detailed head under Debt, Loans, Deposit, Suspense and Remittance heads which close to balance shall be a separate ledger head ","(b) In order to reduce clerical work of posting in Ledger AC 27, the detailed head figures from the Consolidated Abstract for transactions under Debt, Loan, Deposit, Suspense and other Remittance heads that close to balance, it will sufficient if the monthly posting of the inner columns in ledger is confined to the prescribed minor head ","(c) The sub and detailed head-wise figures should, however, be posted in the ledger once a year after the March (Final) closed by setting apart a set of pages in the end of the ledger in Form AC 28 ",(d) None of the above,C ,
 222. The books should be closed formally with the approval of the ,(a) Accountant General after the Finance Accounts have been finally printed,(b) Supervisory Officer-in-Charge of Book Section after the Finance Accounts have been finally printed,(c) Gazetted Officer-in-Charge of Book Section after the Finance Accounts have been finally printed,(d) CAG before the Finance Accounts have been finally printed,B ,
" 223. The Heads ""Revenue Receipts"", ""Service Expenditure"", ""Capital Expenditure outside the Revenue Account"" in the Central and State Ledgers shall ",(a) remain open ,(b) be closed to balance ,(c) Both A&B ,(d) closed to Government,D ,
 224. Major Head for Inter State Settlement Account is ,(a) 8793 ,(b) 7810 ,(c) 7999 ,(d) 7610,B ,
" 225. Inter State Settlement Account and Appropriation to Contingency Fund (7999) are of the nature of Debt, Deposit, Suspense or Remittance heads and are to be closed to Balance ",(a) True ,(b) False,,,B,
" 226. The Debt, Deposit, Suspense and Remittance heads and personal accounts shall be ",(a) closed separately to balance except 8675 ,(b) closed separately to Government except 8675 ,(c) closed combined to balance except 8675 ,(d) closed combined to Government except 8675,A ,
 227. The balance under the head 8675 (Deposits with RBI) in the State Section shall be transferred to the Major Head ,(a) 8785 Other Remittances every month ,(b) 8999 Cash balance at the close of year ,(c) 8785 Cash balance at the close of year ,(d) 8999 Cash balance every month,D ,
 228. The balance under the following major heads in the Central Section shall be closed to the Government ,(a) head 8782 (Cash Remittance) and 8680 (Misc) Govt. Account) ,(b) head 8675 (Deposits with RBI) and 8782 (Cash Remittance) ,(c) head 8675 (Deposits with RBI) and 8680 (Misc) Govt. Account) ,(d) head 8675 (Deposits with RBI) and 8999 (Cash Balance),C ,
 229. Pick the correct one ,"(a) The total in the amount columns of the journal should be carried forward at the end of the month. They should be noted in pencil only, until the opening entries for the year are posted after the closure of the accounts for the previous year ",(b) The accuracy of the ledger postings should be tested monthly by the preparation of Trial Balance Sheet in Form AC 30 ,(c) Both A&B ,(d) None of the given,A ,
" 230. Each State AG should as soon as the accounts of a month are closed, submit a monthly account of its transactions in Form AC 31 to the ",(a) CAG ,(b) CGA ,(c) Reserve Bank ,(d) State Government,D ,
 231. The figures for the monthly account in AC 31 should be taken from the ,(a) Departmental Consolidated Abstract ,(b) Consolidated Abstracts ,(c) Detail Book ,(d) All of the above,B ,
" 232. An account of all Central (Civil) transactions i.e. Civil pensions and transactions of UTs with Legislature which pertain to the Public Account, and of all transactions of UT Administrations brought to account by each AG should be submitted by him to the ",(a) CAG ,(b) CGA ,(c) State Government ,(d) Pr. AO of the Departments and UT concerned,B ,
 233. The annual accounts (including Appropriation Accounts) of each State/UT Govt. shall be prepared in the form prescribed by the President on the advice of the CAG under ,(a) Article 148 of the Constitution ,(b) Article 149 of the Constitution ,(c) Article 150 of the Constitution ,(d) Article 151 of the Constitution,C ,
 234. Pick the correct one ,(a) Annual Accounts including Appropriation Account a State is prepared by the State AG and submitted to the CAG for approval and transmission to the Governor of the State concerned under Article 151 (2) of Constitution and Sec 11 of DPC Act 1971 ,(b) In respect of UT Government with legislatures Annual Accounts including Appropriation Account is prepared by the concerned AG and submitted to the CAG for approval and transmission to the Administrator of UT concerned under Sec 49 of UT Act 1963 ,(c) Both A&B ,(d) None of the given,A ,
" 235. Material for the preparation of the Appropriation Accounts relating to the Pension' Demand for Grant of the Central Government and relating to the Demand for Grants of UT Administrations whose accounts are not separated from audit, shall be submitted by each AG to ",(a) the CGA ,(b) the CAG ,"(c) Director of Audit, Central Grant ","(d) Director of Audit, Central Revenue",D ,
 236. The accounts that shall be an auditor's presentation of the General accounts of the State/UT submitted to Government concerned is ,(a) Appropriation Accounts ,(b) Finance Account ,(c) Audit Report ,(d) General Statement of Account,B ,
 237. Pick the correct regarding Finance Account ,(a) Finance Accounts is prepared in two parts ,(b) Part I-Summarised Statement ,(c) Part II- Detailed Accounts & Statement which is further divided into two section showing Section A- Receipt & Expenditure and Section B- DDR & Contingency Fund ,(d) All of the above,D ,
 238. The accounts of all the Governments in India on a common and comparable basis and are prepared mainly on the basis of the figures contained in the respective Finance Accounts of Governments concerned is called ,(a) Trend Finance & Revenue Account ,(b) Comparable Finance & Revenue Account ,(c) Combined Finance & Revenue Account ,(d) Inclusive Finance & Revenue Account,C ,
 239. Pick the incorrect one regarding submission of accounts for Combined Finance & Revenue Account ,(a) Finance Accounts of the Each AG-31st January ,(b) Finance Account of Central Government-28th February ,"(c) Accounts of P&T, Railways and Defence-28th February ",(d) None of the above,C ,
" 240. State whether true or false An AG should prepare Capital and Revenue Accounts of residential building, if so required by the President on the advice of the CAG. ",(a) True ,(b) False,,,B,
" 241. Exclusion from Residential building for purpose of preparation of Capital and Revenue Accounts i. Residence for the use of the Governors and Head of UTs including staff quarters and other building appurtenant thereto ii. Buildings which are situated within the premises of jail, hospitals, police-lines, tehsils, educational institutions, provided that they are allotted rent-free to Govt. Servant iii. Buildings which are not intended to be used as regular residences such as Dak-bungalows, rest houses, circuit houses, inspection houses and other such buildings iv. Petty buildings the cost of which does not exceed Rs. 5,000 or any other limit which may be prescribed by Government ","(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above,D ,
 242. Building for which Capital & Revenue A/c to be maintained are categorised into ,(a) two classes ,(b) three classes ,(c) four classes ,(d) five classes,A ,
" 243. Class of buildings from which the recovery of the full standard rent is not expected, that is, buildings which, will ordinarily be occupied by Govt. servants who are entitled to accommodation rent free or at reduced rents is ",(a) Class II ,(b) Class IV ,(c) Class I ,(d) Class III,A ,
 244. Class of buildings which will ordinarily be occupied by Government servants liable to pay the full standard rent subject to the limit of a prescribed maximum percentage of their emolument is ,(a) Class II ,(b) Class IV ,(c) Class I ,(d) Class III,C ,
 245. Pick the correct one ,"(a) Transactions relating to the capital cost and maintenance of sanitary, water supply and electric installation and fittings of a residence should be included in those for the building itself. ","(b) Transactions relating to other services such as garden, tennis court etc. for which additional rent is recovered should be shown separately below those relating to buildings ",(c) Furniture is treated as an item by itself and so furniture provided for all such residence in each circle superintendence or other unit is prepared separately. ,(d) All of the above,D ,
 246. Accounts of residential buildings are prepared ,(a) on the basis of information furnished by the executive officer in Form AC 32 ,(b) on the basis of information furnished by the Superintendent Engineer in Form AC 32 ,(c) on the basis of information furnished by the executive officer in Form AC 33 ,(b) on the basis of information furnished by the Superintendent Engineer in Form AC 33,A ,
247,"(a) In respect of capital outlay charges both actual charges and additional charges on account of establishment, T&P etc. should be taken and in respect of maintenance charges only actual charges and no additional charges on account of establishment, T&P etc. should be taken ","(b) In respect of capital outlay charges only actual charges and no additional charges on account of establishment, T&P etc. should be taken and in respect of maintenance charges both actual and additional charges on account of establishment, T&P etc. should be taken ","(c) Both in respect of capital outlay and maintenance charges, the actual charges as well as additional charges on account of establishment, T&P etc. should be taken ","(d) Both in respect of capital outlay and maintenance charges, the actual charges only should be taken and no additional charges on account of establishment, T&P etc.",D ,
" 248. If a building is occupied partly as a residence and partly as office, the best possible approximation for assessing capital value of residential portion shall be made in consultation with ",(a) Executive Engineer or Other as prescribed by the Government ,(b) Superintendent Engineer or Other as prescribed by the Government ,(c) Circle Engineer or Other as prescribed by the Government ,(d) independent Valuer as prescribed by the Government,B ,
 249. The buildings should be brought on the capital and revenue account ,"(a) in the year of their acquisition, construction, lease and if already in existence from the date of completion ","(b) in the year of their acquisition, construction, lease and if already in existence then first brought into use ","(c) in the year following the year of their acquisition, construction, lease and if already in existence then first brought into use ","(d) in the year following the year of their acquisition, construction, lease and if already in existence from the date of completion",C ,
 250. Pick the correct one ,(a) A residential building which has once been included in the accounts should not be excluded therefrom without the sanction of the Government or such other authority as Government may prescribe ,"(b) In the case of non-residential buildings which are converted into residences, if the original cost cannot be ascertained from the records, the Capital value should be based on the estimated value of the buildings Subject to rule made by Govt. in this regard ",(c) Both A&B ,(d) None of the given,C ,
 251. Interest on capital outlay to the end of the year under report or rent payable by the Govt. shall be filled in Form AC 32 under ,(a) Column 15 ,(b) Column 17 ,(c) Column 13 ,(d) Column 11,A ,
" 252. In respect of buildings under the control of PWD, ",(a) a separate account for each Division and a copy of the accounts should be sent to Executive Engineer ,(b) a separate account for each Circle of Superintendence and a copy of the accounts should be sent to Superintendent Engineer ,(c) a combined accounts for all Division and a copy of the accounts should be sent to Superintendent Engineer ,(d) a combined account for all Circle of Superintendence and a copy of the accounts should be sent to Circle Engineer,B ,
 253. Proforma Accounts is also known as ,(a) Financial Account ,(b) Technical Account ,(c) Administrative Account ,(d) Zero Account,C ,
 254. The AG may be required by Government to prepare annually proforma accounts for which capital and revenue accounts are kept in respect of ,(a) Building ,(b) Road and Bridges ,"(c) irrigation, navigation, embankment and drainage projects ",(d) All of the above,C ,
 255. Proforma Accounts is prepared by the AG in Form ,(a) AC 29 ,(b) AC 32 ,(c) AC 35 ,(d) AC 33,D,
" 256. Pick the correct one regarding proforma accounts prepared by the AG i. Proforma Accounts consists of six (6) parts ii. Part I-General Abstract of Financial Result, Part II- Detailed Account of Capital Expenditure, Part III- Revenue Account, Part IV-Interest Account, Part V- Account of Indirect Charges and Part VIStatement comparing capital cost with sanctioned estimates iii. Accounts of individual projects are kept in Parts II to VI for each, and the general results of all projects are abstracted in Part I iv. Projects should be arranged serially in the order of the dates on which the construction estimates were closed and whose construction estimates have not been closed should come next in the arrangement and they should be detailed in the order of the dates of sanction to the estimates ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D ,
" 257. The projects of Irrigation, Navigation, Embankment and Drainage works for which Administrative Accounts are prepared are classified into ",(a) Capital and Revenue ,(b) Productive and Unproductive ,(c) Long-term and Short-term ,(d) Commercial and Non-Commercial,B ,
 258. In part I of projects should be grouped according to ,(a) Productive and Unproductive classes of project ,(b) Special and Normal classes of project ,(c) Current and Outstanding classes of project ,(d) Commercial and Non-Commercial classes of project,A ,
 259. The revenue accounts should be opened for a project ,(a) as soon as a project is sanctioned ,(b) as soon as any section of it is completed ,(c) as soon as any section of it is completed and begins to yield revenue. ,(d) any of the given at the discretion of the AG,C ,
 260. A simple debit and credit account showing the charges for the interest on one side and net revenue or deficit on other as worked out in Part III is shown in ,(a) Part IV Interest Account ,(b) Part II Detailed account of capital expenditure ,(c) Part V Account of the indirect charges ,(d) All of the above,A ,
 261. Pick the correct one ,(a) Interest is calculated on the total direct capital outlay to end of the previous year plus half the outlay of the year itself. ,"(b) Part V of the Proforma Account i.e. the account of indirect charges is prepared in three separate sections-Capital, Revenue and Contingency ",(c) At hundred times the annual amount of land revenue remitted is capitalised ,(d) All of the above,A ,
 262. Audit and Accounts establishment charges for maintaining proforma accounts ,(a) 5% of work expenditure ,(b) 1% of work expenditure ,(c) The actual expenditure as in the case of separate Audit and Account Offices constituted for specific projects otherwise 5% of work expenditure ,(d) The actual expenditure as in the case of separate Audit and Account Offices constituted for specific projects otherwise 1% of work expenditure,D ,
" 263. The proceeds of ""Betterment levy"" ",(a) treated as indirect receipts in the Accounts and shown as Misc receipt under the relevant revenue receipt head ,(b) treated as direct receipts in the Accounts and shown under the relevant revenue receipt head ,(c) treated as indirect receipts in the Accounts should be taken in reduction of Indirect Capital Expenditure in the Administrative Accounts ,(d) treated as indirect receipts in the Accounts should be taken in reduction of Indirect Capital Expenditure in the Administrative Accounts,C ,
 264. The Administrative Accounts should be submitted to the Government ,(a) by 30th April of the following year ,(b) by 30th September of the following year ,(c) as soon as possible after closing the final accounts for March. ,(d) as soon as possible after closing the supplementary accounts for March,C ,
 265. Number of copy (ies) of the Administrative Accounts should be submitted with report to the CAG ,(a) one copy ,(b) two copies ,(c) five copies ,(d) three copies,B ,
 266. Pick the correct one ,(a) If printed copies cannot be despatched so as to reach the CAG on the date prescribed the first copy should be sent on the due date in manuscript. ,"(b) A separate report should also be submitted at the same time to the CAG reviewing the working of the various Irrigation projects with reference to the desirability of changing the existing classification of particular work (Productive to ""Unproductive"" or vice versa), on the basis of the actual yield and anticipated return from such works ",(c) Both A&B ,(d) None of the above,C ,
" 267. State whether true or false For the purpose of the review the figures shown against the minor head ""Recoveries of Expenditure"" should be deducted both from ""Gross Receipts"" and from ""Gross Working Expenses ",(a) True ,(b) False,,,A ,
 268. In the report of AG on the working of projects should mentioned specially all points requiring attention such as ,"(a) cases in which, in the AG's opinion, a change of classification of projects from productive to unproductive or vice versa ",(b) cases in which an abnormal increase under working expenses is not accompanied by an adequate increase in the Receipts ,"(c) cases in which ""Receipts"" show a marked decline and there is no known reason for this. ",(d) All of the above,D ,
 269. The buildings should be brought on the capital and revenue account in the same year provided ,"(a) acquisition, construction, lease and if already in existence then first brought into use on 1st April of that year. ","(b) acquisition, construction, lease and if already in existence then first brought into use on or before 30th September ","(c) acquisition, construction, lease and if already in existence then first brought into use on within first three month of the financial year. ",(d) All of the above,A ,
" 270. If the preparation of State Summary becomes necessary monthly or oftener than three or four times in a year, it will be convenient to record all the details in the ",(a) Departmental Consolidated Abstract ,(b) Public Works Classified Abstract ,(c) Detail Book ,(d) Abstract of Major Heads,B,
 271. Pick the correct one ,(a) Proved Classified Abstract should be utilised as the basis of the Consolidated Abstract which should be compiled through a separate Classified Abstract in which the total state figure under each head shall be worked out. ,"(b) The AG will lay down the detailed procedure for the compilation of, and the extent of the details to be recorded in the Consolidated Abstract. ",(c) Both A&B ,(d) All of the above,C ,
 272. The figures in the last two lines (which will be equal) should be posted in the Statement of Disburses' Accounts against the head ,(a) refund ,(b) receipt & recoveries ,(c) suspense awaiting adjustment ,(d) transfer,D ,
 273. The net debit and credit so worked out under the head Inter-State Suspense Accounts' should be transferred to the relevant columns of ,(a) part II of the Register of Adjustments with the Reserve Bank in Form AC 3 after agreement with Detail Book ,(b) part III of the Register of Adjustments with the Reserve Bank in Form AC 3 after agreement with Departmental Consolidated Abstract ,(c) part III of the Register of Adjustments with the Reserve Bank in Form AC 3 after agreement with Detail Book ,(d) part II of the Register of Adjustments with the Reserve Bank in Form AC 3 after agreement with Departmental Consolidated Abstract,A ,
 274. State whether true or false Gross receipts or payments only shall be entered in the account passed on to the other party to the Settlement Account and not the net amount. ,(a) True ,(b) False,,,B ,
 275. Pick the incorrect one ,"(a) If an account closes with a balance due to a PAO/Accounts Office, a Bank draft should be obtained in requisition in Form AC 17 ","(b) Bank draft should be forwarded with the concerned schedules, vouchers etc. to the PAO/AO concerned through a special letter in Form AC 18 ","(c) If an account closes with a balance due from a PAO/AO, a cheque or a Bank draft should be requisitioned from the PAO/AO concerned sending the claims with supporting vouchers schedules etc. with a special letter in the Form AC 19 ",(d) None of the given,C ,
" 276. On receipt of the Bank draft Cheque, the same should be sent to the Agency Bank accredited to the Headquarters treasury of the AG for credit to Government Account with a Credit Slip indicating the relevant Suspense' head of account in the slip in form ",(a) AC 16A ,(b) AC 20 ,(c) AC 21 ,(d) AC 19,D ,
 277. Requisition for purchase of Draft in Form A.C. 17 will be sent to the agency Bank accredited to the State Headquarters treasury of the AG indicating the debit to 8658 under sun-head ,(a) PSB Suspense ,(b) Reserve Bank Suspense (HQ) ,(c) Reserve Bank Suspense-Central Accounts Office ,(d) Departmental Adjusting Account,B ,
" 278. Combined Finance and Revenue Accounts i. prepared in two parts ii. Part I in known as General Account ii. Part I General Accounts is further grouped into (i) a summary of Receipts and Disbursements of all Governments by sectional heads of account, and (ii) accounts of Receipts and Disbursements by Major Heads of Account of all Governments in the Revenue Account, Capital Account and all other sections iv. Part II is known as Subsidiary Account giving details, generally minor heads, of all the figures shown in the General Accounts relating to each type of Governmental activities ","(a) ii, iii and iv ","(b) i, ii and iv ","(c) i, iii and iv ",(d) All of the above,D ,
 279. Any difference between the cash balance in treasuries and the balance shown in the Cash Balance Report should be worked out and explained ,(a) on the face of the monthly account ,(b) on the reverse of the monthly account ,(c) separately ,(d) Any of the above,A ,
 280. Progressive accounts incorporating adjustments made in the accounts for March Final and any Supplementary adjustments made after the close of those accounts should also be submitted to ,(a) Central Government ,(b) State Government ,(c) CAG ,(d) CGA,B ,
" 281. The Consolidated Abstract of Debt, Deposit and Remittance is prepared in ",(a) AC 25 ,(b) AC 26 ,(c) AC 23 ,(d) AC 22,D,
